sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	C1d	C1bl	C42.2	C21	C1	C3	71003_C	C3cg	C1b	C1k	C3at	C1bi	114_C	C3db	C3b	C3av	C115k	110_C	C21af	C3dp	37676_C	21208_C	C3eg	C21e	41218_C	41217_C	C3ab	38920_C	24569_C	322_C	41216_C	41215_C	41226_C	71030_C	118_C	C1au	41221_C	C45c	71028_C	71029_C	43252_C	12_C	C1c	436490_C	23413_C	21709_C	54162_C	8129_C	41224_C	123_C	893_C	18746_C	41228_C	43224_C	307_C	C72k	102264_C	43240_C	70995_C	70996_C	15680_C	70997_C	115_C	71031_C	436491_C	14603_C	834_C	21931_C	C50f	C1al	C1w	849_C	C1j	C3u	42940_C
77293	Rec11_T1	39204	31017	861	31017	861	0	0	0	0	29319	12	0	0	821	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2020	0m	14163	5754	3888	0	2217	0	543	718	646	379	0	338	278	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77305	Rec14_T1	41390	34150	788	34150	788	0	0	0	0	31921	12	0	0	1176	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2021	0m	15690	6380	3788	0	2502	0	711	674	669	442	0	400	297	0	0	0	200	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77280	Rec7_T4	20432	15972	555	15972	555	0	0	0	0	15223	14	0	0	550	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.06.2019	0m	8197	3035	1654	0	718	97	287	254	216	249	0	159	107	0	0	0	94	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77244	PociC_T2	34148	27399	776	27399	776	0	0	0	0	25889	12	0	0	832	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	17.04.2017	3-5m	12265	4766	3841	0	2115	155	473	589	511	379	0	288	359	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77292	Rec10_T4	27336	21290	646	21290	646	0	0	0	0	20239	14	0	0	599	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.06.2020	0m	10783	4188	2139	135	944	239	366	315	253	330	0	219	133	0	0	0	95	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77272	Rec5_T4	25012	19549	627	19549	627	0	0	0	0	18572	14	0	0	711	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.06.2018	0m	10017	3647	1935	0	959	169	399	308	230	323	0	166	113	0	0	0	107	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77277	Rec7_T1	31183	25023	723	25023	723	0	0	0	0	23614	12	0	0	910	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2019	0m	11791	4727	2608	0	1730	0	519	578	482	366	0	286	253	0	0	0	136	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77297	Rec12_T1	54528	44391	995	44391	995	0	0	0	0	41559	13	0	0	1523	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2020	0m	20010	8124	5065	0	3327	216	897	991	923	655	0	435	440	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77251	PociE_T3	27613	21767	643	21767	643	0	0	0	0	20320	14	0	0	991	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	08.05.2017	3-5m	9871	3852	2607	0	1569	0	356	405	409	281	0	217	306	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	118	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77250	PociE_T2	52097	42078	986	42078	986	0	0	0	0	39618	12	0	0	1393	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	17.04.2017	3-5m	18215	7260	6047	0	3299	231	850	979	834	622	0	485	543	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
