sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	A3	A1gf	760006_A	A1ee	3804_A	70045_A	3283_A	A1gc	3528_A	A1du	A1g	364485_A	922_A	1767146_A	72388_A	969_A	1438_A	73416_A	7561_A	33881_A	A3w	76466_A	363131_A	3177_A	6772_A	9434_A	2058_A	B1	C3ae	C3f	C3bj	C3	C3p	C3g	C3k	55_C	C3ch	C21	152_C	C3gj	C3in	C21.12	38_C	48_C	C3io	53_C	236_C	44_C	925363_C	62_C	C3il	C3im	C3.10	C3gl	47_C	C3hv	181_C	397_C	C3fj	54_C	240_C	C3.11	33161_C	33162_C	169_C	56_C	66_C	140_C	69_C	63351_C	76_C	C3b	C3cp	C3.9	65_C	884538_C	33164_C	70_C	891932_C	237_C	39_C	1778091_C	33171_C	C116	33163_C	C3h	418_C	46445_C	42_C	33180_C	1778086_C	756765_C	C3fv	241_C	51_C	288_C	243_C	34_C	46449_C	32995_C	1500390_C	920736_C	64_C	75_C	744202_C	144_C	67_C	238_C	61_C	1778090_C	931204_C	68_C	915532_C	1004567_C	45_C	174_C	1778087_C	178_C	C116i	1778089_C	399_C	401_C	1778085_C	744126_C	1778093_C	1778095_C	915536_C	1778082_C	49_C	1778094_C	1778083_C	918332_C	924760_C	915370_C	33097_C	1778088_C	290_C	1500999_C	1778097_C	50_C	921509_C	928011_C	917448_C	1778096_C	1501479_C	293_C	1778084_C	33179_C	917792_C	32946_C	921522_C	1778092_C	917067_C	1768442_C	747180_C	471_C
134699	408	408_R1.fastq.gz	3eea2d653180bc0090258367f834065190f89b4056fae5ead9c8af4784b22848	408_R2.fastq.gz	c131fe5f43d049745e3f13bd2baf86405344c572705deac0b5ddafac319563ba	7553	4907	187	4907	187	0	0	0	0	4535	27	0	0	507	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.54293900	-149.62346000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1150	955	166	227	0	1207	54	37	20	33	0	36	0	31	43	63	0	20	0	50	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	27	30	0	43	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	25	0	23	0	0	23	0	0	23	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134693	389	389_R1.fastq.gz	224d3cc45ee6237621975f848bc524680eb915302dd50cde6d7da3aec443c2fc	389_R2.fastq.gz	196012e74d48f577108331740c169dc3f4786c76904b1c29bd95c13c3b10e01d	4519	3007	121	3007	121	0	0	0	0	2901	32	0	0	322	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.54293900	-149.62346000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	461	77	167	0	853	27	27	0	53	0	30	0	38	21	20	0	17	0	47	0	0	0	0	18	17	19	12	12	0	19	14	17	12	0	0	0	12	0	34	0	0	12	12	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	18	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134701	414	414_R1.fastq.gz	27c94280637b00bfe7656d7cc47bc2f4e524081ac836029a471eb90dd9c3150d	414_R2.fastq.gz	748eac8df6b80621073dd77afa3b48f77552a1a4bfb3c2052dc36b8e9d0041bd	3310	1508	78	1508	78	0	0	0	0	1451	26	0	0	142	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.54293900	-149.62346000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685	215	104	50	37	88	25	14	28	16	13	11	22	11	22	14	0	13	0	13	13	0	9	8	0	0	11	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134721	545	545_R1.fastq.gz	0a347668f56ac1fe6090f5bd1a09b1f7e962f1e8341c894dc53c873a41b76475	545_R2.fastq.gz	d7cdb6ae07ea7d60799c427c07c5bba39787c6120331eaee4d28049ec3ee243a	3957	2394	96	2394	96	0	0	0	0	2303	32	0	0	304	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.54577800	-149.62127000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	500	89	153	0	447	32	28	0	38	0	25	0	16	29	26	0	13	0	31	0	0	0	0	9	17	25	15	9	0	13	0	11	0	0	0	0	18	10	30	0	14	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	14	0	0	10	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134718	533	533_R1.fastq.gz	4c1fdff4d685f8309baa71eccff9db1fbd09b84609885a2962ca24fe80f33ba8	533_R2.fastq.gz	b7cec15a639f357ff2ecf37fd7df9b7383bc38881cf6d310b870bbec81f1b2df	6089	3996	182	3996	182	0	0	0	0	3820	34	13	0	399	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.54577800	-149.62127000	Jul-Aug 2013	 3-10	509	0	49	0	11	0	0	13	5	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	813	571	87	170	0	1040	50	22	0	28	0	25	0	15	33	38	0	18	0	36	0	0	0	0	0	0	37	0	0	0	13	33	0	0	0	0	14	0	0	25	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	14	0	0	18	0	0	0	19	0	0	16	0	0	0	0	0	0	26	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
134704	421	421_R1.fastq.gz	a802ea43789c703aa6880a8ce981d08a357bc64a8bf10e902372fc88473acfb6	421_R2.fastq.gz	545f869d88404662a008d84a94828f2e5eeb40fd1f6134eeaf0228866af400c4	2298	1484	64	1484	64	0	0	0	0	1468	42	0	0	227	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.54293900	-149.62346000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	145	61	137	16	225	19	32	0	22	7	18	40	27	14	13	0	6	0	13	16	6	16	12	0	7	15	13	6	0	10	9	0	11	0	0	0	11	10	8	0	13	6	8	9	10	0	0	0	11	9	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134660	116	116_R1.fastq.gz	fe62b1ef7b6968fbf66cc2422ca19a3f3831559e0e834dd09980ebd2352fbae1	116_R2.fastq.gz	b3e784e7058f59490af11353ba851407bc5ee20f13af80cfb287634a2d4200e4	4240	2553	112	2553	112	0	0	0	0	2425	34	0	0	306	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.48210300	-149.88333000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	471	96	168	0	767	28	11	0	26	0	34	0	40	27	0	20	0	0	11	0	0	0	0	14	20	16	12	11	0	12	22	16	0	0	0	0	20	0	11	0	0	0	0	10	14	0	11	0	0	0	0	18	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	17	0	14	0	0	42	0	0	0	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134725	608	608_R1.fastq.gz	b70cb1c99d43cf101932d10824d5ac588c56a04da0797ba7bc35558fd040a25f	608_R2.fastq.gz	b3dfe42cb83d0b7fd8cdc00f0c046981934c598d7ec327066eb0a5aab0116a58	9324	6278	241	6278	241	0	0	0	0	5924	28	0	0	883	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.59296100	-149.79215000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2409	1222	269	293	0	119	66	102	0	66	0	91	0	59	63	94	347	57	178	69	0	38	0	0	0	30	40	42	0	0	0	0	34	28	0	0	36	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134678	303	303_R1.fastq.gz	057a3743c49df4a6e91bb817f74427b81e58ede21d53e705a0ab452172c94e90	303_R2.fastq.gz	49b3cb3ba764385330a8e7477df64a189118c6734c8a745e37117f4965ff24fa	3959	2527	103	2527	103	0	0	0	0	2424	34	0	0	564	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.59114400	-149.79333000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	325	125	187	15	131	31	14	0	28	0	22	0	25	11	0	314	18	265	23	0	0	0	0	0	10	19	14	0	0	12	0	0	11	0	0	0	13	15	12	0	11	0	0	15	0	35	0	0	13	0	40	30	0	0	0	0	11	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
134696	400	400_R1.fastq.gz	74838d7fd33fcc32dfbdabf6bdf2fc6ad5e0d90f84038eec005e6a461b0dd51b	400_R2.fastq.gz	d2fcaabc312e380b8f1149ab14c7deb75640e62a20a9774a113cc1bba5184741	6214	3944	160	3944	160	0	0	0	0	3755	35	10	0	403	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.54293900	-149.62346000	Jul-Aug 2013	 3-10	476	0	43	0	13	10	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	771	525	141	211	0	774	34	29	0	50	0	24	0	41	27	20	130	0	89	39	0	0	0	0	18	0	24	14	16	0	16	0	0	0	0	0	0	13	0	23	0	0	17	31	0	0	0	0	0	0	0	31	41	0	0	0	0	19	14	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134723	604	604_R1.fastq.gz	53df02cb780178072050cdd5b9214518cc277b8bb0ebf9f700f2db2d45f4cf70	604_R2.fastq.gz	2c0c245628324138f30020e8f6d22cee5ffe5d4ee94a2ce770559bfccf8b91ef	4667	2863	120	2863	120	0	0	0	0	2738	41	0	0	690	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.59296100	-149.79215000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634	331	79	153	29	152	35	25	26	52	0	31	0	32	12	24	395	0	298	30	0	13	0	0	25	14	18	15	0	13	0	13	11	0	0	0	0	0	18	12	0	14	11	15	18	0	0	13	0	0	0	44	38	0	0	0	0	12	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
