sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B18a	911566_B	913382_B	B18	C40	C3	C1	C42.2	C1b	C21	C29	C3cg	C3.10	C3k	C115	C21.12	C115k	C3fc	C50x	C45c	C115l	C115d	C1j	348152_C	C3b	101_C	C116a	C1az	C1au	C40e	C41p	911557_C	307_C	C1d	C3db	C40b	C1ci	43278_C	C21ab	141_C	C42ap	40851_C	1010_C	265_C	21196_C	54_C	21709_C	1083994_C	21186_C	23498_C	C3.9	375_C	21209_C	C3dp	C45.3	C42u	324_C	181_C	985_C	20900_C	C3cp	C3fj	33434_C	657_C	223_C	59_C	21205_C	21204_C	911558_C	21810_C	37121_C	316_C	22181_C	C21e	40995_C	C3dc	132_C	483_C	196_C	32893_C	71641_C	76_C	C3.11	40847_C	481153_C	C115a	114_C	653_C	49135_C	C3at	348_C	317_C	92330_C	65_C	21201_C	484403_C	911559_C	66_C	7_C	22807_C	138_C	111_C	21203_C	227_C	C3av	37676_C	C21af	49235_C	C18a	656_C	21731_C	279_C	70438_C	376_C	C50a	2097_C	C3.14	43301_C	C1c	C42a	1859_C	41217_C	511_C	24569_C	384_C	21208_C	20890_C	C3ab	91228_C	15680_C	C3eg	33391_C	103687_C	3606_C	41226_C	C3ey	4559_C	41224_C	52549_C	41816_C	480723_C	3289_C	61454_C	224_C	566_C	90823_C	1083993_C	24876_C	482757_C	22186_C	40585_C	192_C	99_C	37877_C	49139_C	22188_C	335613_C	95432_C	33341_C	336210_C	344_C	41218_C	359_C	42895_C	41239_C	68509_C	1083996_C	C3ea	33778_C	C3cz	C3bd	139_C	41053_C	22201_C	C115g	1083995_C	37010_C	68216_C	336754_C	514771_C	41215_C	D1
109080	123	95881	82653	405	82648	404	5	1	0	0	79616	32	0	0	23488	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Acroporidae	Acropora	hyacinthus	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	31866	0	0	0	1614	6635	0	3953	3772	0	1352	0	0	0	0	0	0	0	0	2138	0	0	0	0	0	0	0	0	0	1180	0	0	0	1198	1152	0	1866	0	819	1162	2365	0	0	2593	0	833	0	0	0	0	0	0	1587	936	0	1155	0	0	0	0	659	1003	1135	1072	1391	0	0	0	0	0	0	0	0	0	0	0	455	0	630	0	0	0	0	0	0	0	0	0	1212	0	0	791	0	0	0	0	0	881	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0
109057	77	86599	75647	412	75647	412	0	0	0	0	73637	31	0	0	20663	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Acroporidae	Acropora	hyacinthus	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	30977	0	0	0	2330	2403	0	3949	3126	0	1521	0	0	0	0	0	0	0	0	3830	0	0	0	0	0	0	0	0	0	1156	0	0	0	752	1578	0	540	0	915	1923	783	0	0	891	0	1094	0	1174	0	0	0	0	931	1326	1151	706	1130	0	0	0	0	686	948	575	1678	0	0	0	0	1683	0	0	0	0	0	0	1244	0	0	0	0	0	0	686	0	0	0	0	942	0	0	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109041	45	82790	69221	322	69221	322	0	0	0	0	67681	27	0	0	19465	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Acroporidae	Acropora	hyacinthus	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	27814	0	0	0	2615	895	0	3831	1418	0	1272	0	491	0	0	0	0	0	0	4308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1820	0	2398	0	0	2364	1800	0	0	951	0	2017	0	3113	0	0	0	0	1002	562	0	0	0	0	0	0	1099	0	0	0	436	0	0	0	0	1053	0	0	0	0	0	0	0	1792	1585	0	0	0	0	0	0	0	0	0	335	947	0	0	0	0	0	0	0	0	0	0	0	0	0	720	0	0	0	0	0	689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0
109085	133	132553	114865	947	114865	947	0	0	0	0	109511	38	0	0	33392	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Acroporidae	Acropora	hyacinthus	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	43505	0	0	0	3098	2911	0	6719	1713	0	2314	0	1307	0	0	0	0	0	0	5553	0	0	0	0	0	0	0	0	0	1442	0	0	0	492	1680	0	1524	0	1716	1590	1635	0	0	1421	0	1164	0	1469	0	0	0	0	865	1529	1713	1575	1423	0	0	0	1405	1336	1478	1506	1574	0	0	0	0	1415	0	0	0	0	0	0	1534	1883	1428	0	0	0	0	1416	0	0	0	0	1299	1395	0	976	0	0	0	0	0	1488	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109076	115	94516	83470	378	83470	378	0	0	0	0	81205	27	0	0	24227	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Acroporidae	Acropora	hyacinthus	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	35428	0	0	0	1723	1328	0	5354	1582	0	4523	0	1014	0	0	0	0	0	0	1395	0	0	0	0	0	0	0	0	0	0	0	0	0	698	1330	0	2822	0	1287	934	818	0	0	776	0	712	0	1109	0	0	0	0	1372	0	3207	1166	2055	0	0	0	1253	1148	0	2163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1219	0	0	0	0	1479	0	0	0	0	0	0	0	0	0	0	3310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109035	33	54486	47656	267	47656	267	0	0	0	0	46706	35	0	0	11076	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Acroporidae	Acropora	hyacinthus	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	18600	0	0	0	1280	636	0	3284	1415	0	2312	0	0	0	0	0	0	0	0	2174	0	0	0	0	0	0	0	0	0	527	0	0	0	523	1303	0	300	0	0	390	342	0	0	344	0	760	0	454	0	0	0	0	343	1484	302	527	1187	0	0	0	863	1054	465	446	0	0	0	0	0	486	0	0	0	0	0	0	468	1082	0	0	0	0	0	0	0	0	0	0	265	972	0	397	0	0	0	0	0	398	0	0	0	0	0	602	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0
109039	41	94133	82305	371	82305	371	0	0	0	0	80945	36	0	0	22690	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Acroporidae	Acropora	hyacinthus	999.00000000	999.00000000	NoData	NoData	0	0	0	0	972	28945	0	0	0	4613	7339	0	3168	2585	0	821	0	1625	0	0	0	0	0	0	2454	0	0	0	0	0	0	0	0	0	916	0	0	0	1222	1023	0	725	0	1076	811	1331	0	0	1251	0	904	0	0	0	0	0	0	1151	680	1086	1993	698	0	0	0	807	760	2320	636	1445	0	0	0	0	944	0	0	0	0	0	0	1673	0	524	0	0	0	0	1623	0	0	0	0	409	624	0	908	0	0	0	0	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109060	83	116707	106375	709	106375	709	0	0	0	0	103792	25	0	0	11440	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillopora	meandrina	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	2548	34025	29609	10278	0	0	4219	0	0	0	0	2288	0	0	2222	1170	0	2084	0	0	0	0	0	1416	0	1752	0	2007	0	0	0	741	0	0	0	0	0	0	0	0	0	783	0	0	0	0	1262	0	0	0	0	1001	0	0	0	0	0	0	674	0	0	0	0	0	0	0	625	0	0	0	0	940	0	462	763	730	0	0	0	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	961	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109077	117	114177	103432	793	103432	793	0	0	0	0	96321	24	0	0	9346	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillopora	meandrina	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	4020	25665	25559	10470	0	0	0	0	0	0	0	3198	0	0	0	3972	3300	2242	0	0	542	0	3459	1779	0	1007	0	0	0	0	0	0	1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1432	872	0	0	0	0	0	0	0	0	1617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	918	0	0	0	0	665	0	0	0	0	0	1052	0	1066	0	0	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0
109068	99	62702	57446	223	57446	223	0	0	0	0	56354	22	0	0	8674	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillopora	meandrina	999.00000000	999.00000000	NoData	NoData	0	0	0	0	0	862	14036	5601	9218	0	0	0	0	0	0	0	2433	0	0	0	3021	3775	1349	0	0	0	0	1755	1534	0	1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	1046	0	0	0	0	0	0	0	0	0	0	0	0	1345	0	0	0	0	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1174	0	0	0	0	0	1238	0	0	0	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	498	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
