ITS2 type profile UID		66406	66474	66582	66584	66583	66797	66711	67315
Clade		A	B	C	C	C	C	C	C
Majority ITS2 sequence		A4a	B18b	C3	C3/C3dm	C3/C3cd	C3	C3	C3
Associated species		S. linucheae	None	None	None	None	None	None	None
ITS2 profile abundance local		1	1	193	20	19	4	4	1
ITS2 profile abundance DB		6	1	193	20	19	9	29	8
ITS2 type profile		A4/A4a	B18b	C3-C3de-C3bb-C21ae-C3an-C3s-C3dk	C3/C3dm-C3de-C3bb-C3cd-C21ae-C3an-C3s-C3dk	C3/C3cd-C3de-C3dn-C3bb-C21ae-C3an	C3-C3an-C3b-C21-C3fc-C3bb-C3s-C3fd	C3an/C3-C21-C3bb	C3-C3an
59422	CBC_105	0	0	78383.0	0	0	0	0	0
59370	CBC_053	0	0	176816.0	0	0	0	0	0
59411	CBC_094	0	0	133664.0	0	0	0	0	0
59383	CBC_066	0	0	229191.0	0	0	0	0	0
59523	CBC_206	0	0	137974.0	0	0	0	0	0
59407	CBC_090	0	0	175603.0	0	0	0	0	0
59378	CBC_061	0	0	235492.0	0	0	0	0	0
59499	CBC_182	0	0	117604.0	0	0	0	0	0
59344	CBC_027	0	0	151631.0	0	0	0	0	0
59392	CBC_075	0	0	125081.0	0	0	0	0	0
59389	CBC_072	0	0	130399.0	0	0	0	0	0
59355	CBC_038	0	0	161161.0	0	0	0	0	0
59485	CBC_168	0	0	73802.0	0	0	0	0	0
59475	CBC_158	0	0	97660.0	0	0	0	0	0
59549	CBC_232	0	0	48243.0	0	0	0	0	0
59440	CBC_123	0	0	104177.0	0	0	0	0	0
59402	CBC_085	0	0	13814.0	0	0	0	0	0
59556	CBC_240	0	0	133829.0	0	0	0	0	0
59501	CBC_184	0	0	77953.0	0	0	0	0	0
59459	CBC_142	0	0	73760.0	0	0	0	0	0
59515	CBC_198	0	0	131807.0	0	0	0	0	0
59543	CBC_226	0	0	122030.0	0	0	0	0	0
59502	CBC_185	0	0	20270.0	0	0	0	0	0
59322	CBC_005	0	0	134185.0	0	0	0	0	0
59458	CBC_141	0	0	11681.0	0	0	0	0	0
59470	CBC_153	0	0	78579.0	0	0	0	0	0
59550	CBC_233	0	0	43014.0	0	0	0	0	0
59414	CBC_097	0	0	166229.0	0	0	0	0	0
59435	CBC_118	0	0	27268.0	0	0	0	0	0
59492	CBC_175	0	0	130809.0	0	0	0	0	0
59388	CBC_071	0	0	109744.0	0	0	0	0	0
59520	CBC_203	0	0	78127.0	0	0	0	0	0
59511	CBC_194	0	0	9681.0	0	0	0	0	0
59460	CBC_143	0	0	110398.0	0	0	0	0	0
59484	CBC_167	0	0	141428.0	0	0	0	0	0
59489	CBC_172	0	0	81540.0	0	0	0	0	0
59368	CBC_051	0	0	240283.0	0	0	0	0	0
59434	CBC_117	0	0	134935.0	0	0	0	0	0
59497	CBC_180	0	0	171985.0	0	0	0	0	0
59457	CBC_140	0	0	182270.0	0	0	0	0	0
59425	CBC_108	0	0	173180.0	0	0	0	0	0
59462	CBC_145	0	0	153884.0	0	0	0	0	0
59408	CBC_091	0	0	91009.0	0	0	0	0	0
59551	CBC_234	0	0	311032.0	0	0	0	0	0
59451	CBC_134	0	0	8722.0	0	0	0	0	0
59490	CBC_173	0	0	100307.0	0	0	0	0	0
59453	CBC_136	0	0	199037.0	0	0	0	0	0
59436	CBC_119	0	0	214530.0	0	0	0	0	0
59345	CBC_028	0	0	147338.0	0	0	0	0	0
59412	CBC_095	0	0	98799.0	0	0	0	0	0
59468	CBC_151	0	0	65594.0	0	0	0	0	0
59553	CBC_237	0	0	96558.0	0	0	0	0	0
59505	CBC_188	0	0	202473.0	0	0	0	0	0
59446	CBC_129	0	0	134290.0	0	0	0	0	0
59346	CBC_029	0	0	10044.0	0	0	0	0	0
59513	CBC_196	0	0	137887.0	0	0	0	0	0
59537	CBC_220	0	0	5883.0	0	0	0	0	0
59494	CBC_177	0	0	63313.0	0	0	0	0	0
59327	CBC_010	0	0	200959.0	0	0	0	0	0
59438	CBC_121	0	0	107069.0	0	0	0	0	0
59328	CBC_011	0	0	163813.0	0	0	0	0	0
59367	CBC_050	0	0	141611.0	0	0	0	0	0
59365	CBC_048	0	0	154474.0	0	0	0	0	0
59419	CBC_102	0	0	46237.0	0	0	0	0	0
59554	CBC_238	0	0	84564.0	0	0	0	0	0
59465	CBC_148	0	0	154904.0	0	0	0	0	0
59519	CBC_202	0	0	191046.0	0	0	0	0	0
59372	CBC_055	0	0	128863.0	0	0	0	0	0
59357	CBC_040	0	0	150457.0	0	0	0	0	0
59376	CBC_059	0	0	94682.0	0	0	0	0	0
59341	CBC_024	0	0	104199.0	0	0	0	0	0
59416	CBC_099	0	0	154076.0	0	0	0	0	0
59464	CBC_147	0	0	58868.0	0	0	0	0	0
59493	CBC_176	0	0	119225.0	0	0	0	0	0
59558	CBC_242	0	0	52226.0	0	0	0	0	0
59482	CBC_165	0	0	178242.0	0	0	0	0	0
59427	CBC_110	0	0	166773.0	0	0	0	0	0
59473	CBC_156	0	0	111841.0	0	0	0	0	0
59487	CBC_170	0	0	104876.0	0	0	0	0	0
59348	CBC_031	0	0	83029.0	0	0	0	0	0
59418	CBC_101	0	0	118354.0	0	0	0	0	0
59396	CBC_079	0	0	76633.0	0	0	0	0	0
59405	CBC_088	0	0	12801.0	0	0	0	0	0
59547	CBC_230	0	0	100856.0	0	0	0	0	0
59350	CBC_033	0	0	144735.0	0	0	0	0	0
59426	CBC_109	0	0	11108.0	0	0	0	0	0
59347	CBC_030	0	0	22028.0	0	0	0	0	0
59527	CBC_210	0	0	75944.0	0	0	0	0	0
59381	CBC_064	0	0	76361.0	0	0	0	0	0
59330	CBC_013	0	0	236807.0	0	0	0	0	0
