index,sample_name,host_genus_meta,host_species_meta,published
2934.pdf,16,,,y
2934.pdf,3013,,,y
2934.pdf,3061,,,y
2934.pdf,3081,,,y
2934.pdf,3023,,,y
2934.pdf,3019,,,y
2934.pdf,3077,,,y
2934.pdf,3024,,,y
2934.pdf,3054,,,y
2934.pdf,3020,,,y
2934.pdf,3033,,,y
2934.pdf,3063,,,y
2934.pdf,77,,,y
2934.pdf,3072,,,y
2934.pdf,3011,,,y
2934.pdf,72,,,y
2934.pdf,3007,,,y
2934.pdf,3012,,,y
2934.pdf,3048,,,y
2934.pdf,3046,,,y
2934.pdf,3030,,,y
2934.pdf,20,,,y
2934.pdf,3028,,,y
2934.pdf,3075,,,y
2934.pdf,3056,,,y
2934.pdf,3079,,,y
2934.pdf,3022,,,y
2934.pdf,2999,,,y
2934.pdf,76,,,y
2934.pdf,3025,,,y
2934.pdf,3004,,,y
2934.pdf,3040,,,y
2934.pdf,3038,,,y
2934.pdf,3034,,,y
2934.pdf,3018,,,y
2934.pdf,3047,,,y
2934.pdf,3064,,,y
2934.pdf,3041,,,y
2934.pdf,3008,,,y
2934.pdf,3062,,,y
2934.pdf,3078,,,y
2934.pdf,3015,,,y
2934.pdf,3017,,,y
2934.pdf,3057,,,y
2934.pdf,2993,,,y
2934.pdf,3010,,,y
2934.pdf,3002,,,y
2934.pdf,3029,,,y
2934.pdf,2997,,,y
2934.pdf,3060,,,y
2934.pdf,3001,,,y
2934.pdf,3000,,,y
2934.pdf,2990,,,y
2934.pdf,2992,,,y
2934.pdf,3026,,,y
2934.pdf,2991,,,y
2934.pdf,3035,,,y
2934.pdf,3043,,,y
2934.pdf,3049,,,y
2934.pdf,2998,,,y
2934.pdf,3052,,,y
2934.pdf,3045,,,y
2934.pdf,3032,,,y
2934.pdf,3058,,,y
2934.pdf,3068,,,y
2934.pdf,3009,,,y
2934.pdf,3070,,,y
2934.pdf,3027,,,y
2934.pdf,3021,,,y
2934.pdf,3073,,,y
2934.pdf,3076,,,y
2934.pdf,3006,,,y
2934.pdf,3080,,,y
2934.pdf,3059,,,y
2934.pdf,3065,,,y
2934.pdf,3069,,,y
2934.pdf,3039,,,y
2934.pdf,3055,,,y
2934.pdf,2932,,,y
2934.pdf,3067,,,y
2934.pdf,3042,,,y
2934.pdf,3003,,,y
2934.pdf,2989,,,y
2934.pdf,3016,,,y
2934.pdf,2994,,,y
2934.pdf,2995,,,y
2934.pdf,3066,,,y
2934.pdf,3005,,,y
2934.pdf,2996,,,y
2934.pdf,3053,,,y
2934.pdf,3031,,,y
2934.pdf,3037,,,y
2934.pdf,3050,,,y
2934.pdf,3044,,,y
2934.pdf,3051,,,y
2934.pdf,30,,,y
2934.pdf,3014,,,y
