index,sample_name,host_genus_meta,host_species_meta,published
S15,Mang_3_C_T1,,,y
S15,Mang_3_T_T1,,,y
S15,Mang_3_C_Tx,,,y
S15,Mang_5_T_T1,,,y
S15,Mang_3_T_Tx,,,y
S15,Mang_1_T_Tx,,,y
S15,Mang_1_T_T1,,,y
S15,Mang_1_C_T1,,,y
S15,Mang_5_C_Tx,,,y
S15,Mang_5_T_Tx,,,y
S15,Mang_4_T_Tx,,,y
S15,Mang_1_C_Tx,,,y
S15,Mang_5_C_T1,,,y
S15,Reef_3_T_T1,,,y
S15,Reef_5_T_Tx,,,y
S15,Reef_2_C_T1,,,y
S15,Reef_3_T_Tx,,,y
S15,Reef_4_C_T1,,,y
S15,Reef_3_C_Tx,,,y
S15,Reef_2_C_Tx,,,y
S15,Reef_4_T_T1,,,y
S15,Reef_5_C_Tx,,,y
S15,Reef_5_C_T1,,,y
S15,Reef_3_C_T1,,,y
S15,Reef_5_T_T1,,,y
S15,Mang_4_C_Tx,,,y
S15,Mang_2_C_T1,,,y
S15,Mang_2_C_Tx,,,y
S15,Mang_2_T_Tx,,,y
S15,Mang_4_T_T1,,,y
S15,Mang_2_T_T1,,,y
S15,Reef_4_C_Tx,,,y
S15,Reef_1_C_Tx,,,y
S15,Reef_2_T_Tx,,,y
S15,Reef_1_T_Tx,,,y
S15,Reef_1_C_T1,,,y
S15,Reef_4_T_Tx,,,y
S15,Reef_2_T_T1,,,y
S15,Reef_1_T_T1,,,y
S15,Mang_4_C_T1,,,y
