index,sample_name,host_genus_meta,host_species_meta,published
S22,S6_P_LT_35A,,,y
S22,S2_P_ST_33B,,,y
S22,S2_P_ST_36B,,,y
S22,S2_P_ST_39B,,,y
S22,S6_P_ST_30B,,,y
S22,S1_P_ST_33B,,,y
S22,S4_P_ST_39B,,,y
S22,S2_P_ST_30B,,,y
S22,S4_P_ST_33B,,,y
S22,S6_P_ST_33B,,,y
S22,S4_P_ST_36B,,,y
S22,S6_P_ST_36B,,,y
S22,S3_P_ST_30B,,,y
S22,S3_P_ST_36B,,,y
S22,S1_P_ST_36B,,,y
S22,S1_P_ST_30B,,,y
S22,S6_P_ST_39B,,,y
S22,S4_P_ST_30B,,,y
S22,S2_P_LT_35A,,,y
S22,S1_P_ST_39B,,,y
S22,S3_P_ST_39B,,,y
S22,S2_P_LT_31A,,,y
S22,S1_P_LT_35A,,,y
S22,S6_P_LT_31A,,,y
S22,S4_P_LT_35A,,,y
S22,S3_P_LT_35A,,,y
S22,S2_P_LT_33A,,,y
S22,S3_P_ST_33B,,,y
S22,S1_P_LT_31A,,,y
S22,S6_P_LT_33A,,,y
S22,S4_P_LT_31A,,,y
S22,S4_P_LT_33A,,,y
S22,S1_P_LT_33A,,,y
S22,S5_P_LT_31A,,,y
S22,S5_P_LT_35A,,,y
S22,S3_E_LT_31A,,,y
S22,S3_P_LT_33A,,,y
S22,S2_E_ST_30B,,,y
S22,S2_E_LT_33A,,,y
S22,S7_E_ST_36B,,,y
S22,S7_E_ST_33B,,,y
S22,S7_E_ST_30B,,,y
S22,S6_E_ST_36B,,,y
S22,S6_E_ST_33B,,,y
S22,S6_E_ST_30B,,,y
S22,S5_E_ST_33B,,,y
S22,S5_E_ST_30B,,,y
S22,S2_E_ST_36B,,,y
S22,S2_E_ST_33B,,,y
S22,S1_E_ST_33B,,,y
S22,S1_E_ST_30B,,,y
S22,S6_E_ST_39B,,,y
S22,S6_E_LT_31A,,,y
S22,S5_E_ST_39B,,,y
S22,S2_E_LT_35A,,,y
S22,S2_E_LT_31A,,,y
S22,S1_E_ST_39B,,,y
S22,S1_E_LT_35A,,,y
S22,S1_E_LT_31A,,,y
S22,S5_E_ST_36B,,,y
S22,S1_E_ST_36B,,,y
S22,S6_E_LT_33A,,,y
S22,S2_E_ST_39B,,,y
S22,S1_E_LT_33A,,,y
S22,S5_E_LT_35A,,,y
S22,S6_E_LT_35A,,,y
S22,S5_E_LT_33A,,,y
S22,S7_E_ST_39B,,,y
S22,S5_E_LT_31A,,,y
S22,S7_E_LT_31A,,,y
S22,S7_E_LT_33A,,,y
S22,S7_E_LT_35A,,,y
S22,S7_P_ST_39B,,,y
S22,S3_E_LT_33A,,,y
S22,S7_P_ST_36B,,,y
S22,S7_P_ST_33B,,,y
S22,S3_E_ST_39B,,,y
S22,S7_P_LT_35A,,,y
S22,S7_P_ST_30B,,,y
S22,S3_P_LT_31A,,,y
S22,S7_P_LT_33A,,,y
S22,S3_E_LT_35A,,,y
S22,S3_E_ST_30B,,,y
S22,S7_P_LT_31A,,,y
S22,S3_E_ST_33B,,,y
S22,S3_E_ST_36B,,,y
S22,S4_E_LT_35A,,,y
S22,S4_E_ST_36B,,,y
S22,S4_E_ST_33B,,,y
S22,S4_E_LT_33A,,,y
S22,S4_E_ST_39B,,,y
S22,S4_E_ST_30B,,,y
S22,S4_E_LT_31A,,,y
S22,S5_P_ST_36B,,,y
S22,S5_P_ST_30B,,,y
S22,S5_P_ST_39B,,,y
S22,S5_P_ST_33B,,,y
S22,S5_P_LT_33A,,,y
