index,sample_name,host_genus_meta,host_species_meta,published
1834.pdf,S_16_E0556_150_EH-16S_18S_16S_amplicon_S503-A_N701-A,Platygyra,daedalea,y
1834.pdf,S_16_E0772_476_EH-16S_18S_16S_amplicon_S517-C_N706-C,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0709_275_EH-16S_18S_16S_amplicon_S510-B_N716-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0552_235_EH-16S_18S_16S_amplicon_S502-A_N710-A,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0748_470_EH-16S_18S_16S_amplicon_S515-C_N705-C,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0648_373_EH-16S_18S_16S_amplicon_S502-B_N727-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0659_371_EH-16S_18S_16S_amplicon_S503-B_N727-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0883_617_EH-16S_18S_16S_amplicon_S520-D_N718-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0796_474_EH-16S_18S_16S_amplicon_S520-C_N706-C,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0656_341_EH-16S_18S_16S_amplicon_S503-B_N723-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0721_274_EH-16S_18S_16S_amplicon_S511-B_N716-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0908_624_EH-16S_18S_16S_amplicon_S522-D_N719-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0731_374_EH-16S_18S_16S_amplicon_S511-B_N728-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0682_369_EH-16S_18S_16S_amplicon_S506-B_N727-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0710_285_EH-16S_18S_16S_amplicon_S510-B_N718-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0671_380_EH-16S_18S_16S_amplicon_S505-B_N728-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0713_315_EH-16S_18S_16S_amplicon_S510-B_N721-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0846_711_EH-16S_18S_16S_amplicon_S515-D_N726-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0727_334_EH-16S_18S_16S_amplicon_S511-B_N723-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0899_667_EH-16S_18S_16S_amplicon_S521-D_N722-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0888_686_EH-16S_18S_16S_amplicon_S520-D_N723-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0874_638_EH-16S_18S_16S_amplicon_S518-D_N720-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0657_350_EH-16S_18S_16S_amplicon_S503-B_N724-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0862_628_EH-16S_18S_16S_amplicon_S517-D_N719-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0652_301_EH-16S_18S_16S_amplicon_S503-B_N719-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0857_709_EH-16S_18S_16S_amplicon_S516-D_N726-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0875_657_EH-16S_18S_16S_amplicon_S518-D_N721-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0840_630_EH-16S_18S_16S_amplicon_S515-D_N719-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0578_272_EH-16S_18S_16S_amplicon_S505-A_N715-A,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0670_370_EH-16S_18S_16S_amplicon_S505-B_N727-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0589_259_EH-16S_18S_16S_amplicon_S506-A_N714-A,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0719_375_EH-16S_18S_16S_amplicon_S510-B_N728-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0700_305_EH-16S_18S_16S_amplicon_S508-B_N720-B,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0832_678_EH-16S_18S_16S_amplicon_S513-D_N722-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0884_626_EH-16S_18S_16S_amplicon_S520-D_N719-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0851_629_EH-16S_18S_16S_amplicon_S516-D_N719-D,Cyphastrea,microphthalma,y
1834.pdf,S_16_E0877_687_EH-16S_18S_16S_amplicon_S518-D_N723-D,Cyphastrea,microphthalma,y
