index,sample_name,host_genus_meta,host_species_meta,published
S3,Clo2019_ID447,,,y
S3,Clo2019_ID442,,,y
S3,Clo2019_ID419,,,y
S3,Clo2019_ID411,,,y
S3,Clo2019_ID368,,,y
S3,Clo2019_ID362,,,y
S3,Clo2019_ID161,,,y
S3,Clo2017_ID50,,,y
S3,Clo2019_ID145,,,y
S3,Clo2019_ID435,,,y
S3,Clo2019_ID456,,,y
S3,Clo2019_ID418,,,y
S3,Clo2019_ID364,,,y
S3,Clo2017_ID121,,,y
S3,Clo2019_ID141,,,y
S3,Clo2017_ID215,,,y
S3,Clo2019_ID318,,,y
S3,Clo2019_ID134,,,y
S3,Clo2019_ID381,,,y
S3,Clo2019_ID153,,,y
S3,Clo2017_ID368,,,y
S3,Clo2019_ID361,,,y
S3,Clo2019_ID448,,,y
S3,Clo2019_ID488,,,y
S3,Clo2017_ID151,,,y
S3,Clo2017_ID19,,,y
S3,Clo2019_ID149,,,y
S3,Clo2017_ID123,,,y
S3,Clo2017_ID355,,,y
S3,Clo2017_ID302,,,y
S3,Clo2019_ID160,,,y
S3,Clo2019_ID457,,,y
S3,Clo2017_ID345,,,y
S3,Clo2019_ID355,,,y
S3,Clo2017_ID366,,,y
S3,Clo2017_ID361,,,y
S3,Clo2017_ID202,,,y
S3,Clo2019_ID164,,,y
S3,Clo2017_ID408,,,y
S3,Clo2019_ID444,,,y
S3,Clo2017_ID445,,,y
S3,Clo2017_ID444,,,y
S3,Clo2017_ID409,,,y
S3,Clo2017_ID442,,,y
S3,Clo2017_ID351,,,y
S3,Clo2019_ID50,,,y
S3,Clo2017_ID364,,,y
S3,Clo2017_ID17,,,y
S3,Clo2017_ID359,,,y
S3,Clo2019_ID159,,,y
S3,Clo2017_ID407,,,y
S3,Clo2017_ID163,,,y
S3,Clo2019_ID369,,,y
S3,Clo2019_ID220,,,y
S3,Clo2019_ID217,,,y
S3,Clo2017_ID349,,,y
S3,Clo2017_ID348,,,y
S3,Clo2019_ID273,,,y
S3,Clo2019_ID209,,,y
S3,Clo2017_ID369,,,y
S3,Clo2017_ID446,,,y
S3,Clo2019_ID121,,,y
S3,Clo2019_ID366,,,y
S3,Clo2017_ID370,,,y
S3,Clo2019_ID6,,,y
S3,Clo2019_ID297,,,y
S3,Clo2019_ID477,,,y
S3,Clo2017_ID450,,,y
S3,Clo2017_ID134,,,y
S3,Clo2017_ID153,,,y
S3,Clo2019_ID158,,,y
S3,Clo2019_ID13,,,y
S3,Clo2017_ID473,,,y
S3,Clo2019_ID443,,,y
S3,Clo2017_ID367,,,y
S3,Clo2017_ID131,,,y
S3,Clo2017_ID429,,,y
S3,Clo2019_ID19,,,y
S3,Clo2017_ID458,,,y
S3,Clo2017_ID456,,,y
S3,Clo2017_ID360,,,y
S3,Clo2017_ID448,,,y
S3,Clo2017_ID344,,,y
S3,Clo2017_ID451,,,y
S3,Clo2017_ID377,,,y
S3,Clo2019_ID127,,,y
S3,Clo2019_ID75,,,y
S3,Clo2019_ID202,,,y
S3,Clo2017_ID346,,,y
S3,Clo2017_ID205,,,y
S3,Clo2017_ID343,,,y
S3,Clo2017_ID354,,,y
S3,Clo2019_ID374,,,y
S3,Clo2017_ID298,,,y
S3,Clo2019_ID498,,,y
S3,Clo2017_ID160,,,y
S3,Clo2017_ID124,,,y
S3,Clo2017_ID452,,,y
S3,Clo2017_ID146,,,y
S3,Clo2019_ID152,,,y
S3,Clo2017_ID362,,,y
S3,Clo2019_ID425,,,y
S3,Clo2017_ID307,,,y
S3,Clo2019_ID176,,,y
S3,Clo2017_ID158,,,y
S3,Clo2019_ID54,,,y
S3,Clo2019_ID93,,,y
S3,Clo2017_ID435,,,y
S3,Clo2017_ID441,,,y
S3,Clo2017_ID152,,,y
