index,sample_name,host_genus_meta,host_species_meta,published
S10,113,Echinopora ,lamellosa,y
S10,23,Echinopora ,lamellosa,y
S10,25,Echinopora ,lamellosa,y
S10,57,Echinopora ,lamellosa,y
S10,63,Echinopora ,lamellosa,y
S10,27,Echinopora ,lamellosa,y
S10,61,Echinopora ,lamellosa,y
S10,59,Echinopora ,lamellosa,y
S10,1,Echinopora ,lamellosa,y
S10,13,Echinopora ,lamellosa,y
S10,9,Echinopora ,lamellosa,y
S10,17,Echinopora ,lamellosa,y
S10,29,Acropora,hyacinthus,y
S10,3,Echinopora ,lamellosa,y
S10,31,Echinopora ,lamellosa,y
S10,11,Echinopora ,lamellosa,y
S10,37,Echinopora ,lamellosa,y
S10,65,Pocillopora,sp,y
S10,105,Pocillopora,sp,y
S10,97,Pocillopora,sp,y
S10,103,Pocillopora,sp,y
S10,107,Pocillopora,sp,y
S10,89,Pocillopora,sp,y
S10,95,Pocillopora,sp,y
S10,87,Pocillopora,sp,y
S10,111,Pocillopora,sp,y
S10,129,Pocillopora,sp,y
S10,127,Pocillopora,sp,y
S10,81,Pocillopora,sp,y
S10,49,Acropora,hyacinthus,y
S10,123,Acropora,hyacinthus,y
S10,77,Acropora,hyacinthus,y
S10,45,Acropora,hyacinthus,y
S10,133,Acropora,hyacinthus,y
S10,115,Acropora,hyacinthus,y
S10,33,Acropora,hyacinthus,y
S10,41,Acropora,hyacinthus,y
S10,83,Pocillopora,sp,y
S10,117,Pocillopora,sp,y
S10,99,Pocillopora,sp,y
S10,91,Pocillopora,sp,y
S10,119,Pocillopora,sp,y
S10,21,Echinopora ,lamellosa,y
S10,5,Echinopora ,lamellosa,y
S10,109,Pocillopora,sp,y
S10,131,Pocillopora,sp,y
S10,125,Acropora,hyacinthus,y
S10,85,Acropora,hyacinthus,y
S10,19,Echinopora ,lamellosa,y
S10,15,Echinopora ,lamellosa,y
S10,51,Acropora,hyacinthus,y
S10,35,Acropora,hyacinthus,y
S10,79,Acropora,hyacinthus,y
S10,121,Acropora,hyacinthus,y
S10,101,Acropora,hyacinthus,y
S10,93,Pocillopora,sp,y
S10,75,Acropora,hyacinthus,y
S10,73,Echinopora ,lamellosa,y
S10,71,Acropora,hyacinthus,y
S10,69,Acropora,hyacinthus,y
S10,67,Acropora,hyacinthus,y
S10,55,Acropora,hyacinthus,y
S10,53,Acropora,hyacinthus,y
S10,47,Acropora,hyacinthus,y
S10,43,Acropora,hyacinthus,y
S10,39,Acropora,hyacinthus,y
