index,sample_name,host_genus_meta,host_species_meta,published
1000.pdf,AGb_087,,,y
1000.pdf,AGa_028,,,y
1000.pdf,AGb_071,,,y
1000.pdf,AGa_013,,,y
1000.pdf,AGb_061,,,y
1000.pdf,OMc_091,,,y
1000.pdf,OMd_053,,,y
1000.pdf,OMc_089,,,y
1000.pdf,AGa_051,,,y
1000.pdf,OMa_063,,,y
1000.pdf,AGa_043,,,y
1000.pdf,AGb_118,,,y
1000.pdf,OMb_078,,,y
1000.pdf,OMd_096,,,y
1000.pdf,OMd_068,,,y
1000.pdf,OMd_048,,,y
1000.pdf,OMa_044,,,y
1000.pdf,AGc_162,,,y
1000.pdf,OMb_081,,,y
1000.pdf,AGa_019,,,y
1000.pdf,OMb_020,,,y
1000.pdf,AGc_140,,,y
1000.pdf,OMa_031,,,y
1000.pdf,AGa_017,,,y
1000.pdf,OMb_058,,,y
1000.pdf,OMa_060,,,y
1000.pdf,OMe_013,,,y
1000.pdf,ADe_038,,,y
1000.pdf,OMb_095,,,y
1000.pdf,OMc_043,,,y
1000.pdf,OMb_030,,,y
1000.pdf,OMc_002,,,y
1000.pdf,OMb_071,,,y
1000.pdf,AGb_080,,,y
1000.pdf,OMb_075,,,y
1000.pdf,OMb_028,,,y
1000.pdf,AGb_108,,,y
1000.pdf,OMe_008,,,y
1000.pdf,OMa_047,,,y
1000.pdf,OMa_002,,,y
1000.pdf,ADe_015,,,y
1000.pdf,OMb_042,,,y
1000.pdf,OMe_029,,,y
1000.pdf,AGc_132,,,y
1000.pdf,ADe_027,,,y
1000.pdf,ADe_029,,,y
1000.pdf,AGa_060,,,y
1000.pdf,AGa_025,,,y
1000.pdf,OMa_059,,,y
1000.pdf,AGa_053,,,y
1000.pdf,AGb_105,,,y
1000.pdf,OMa_018,,,y
1000.pdf,AGa_041,,,y
1000.pdf,AGc_122,,,y
1000.pdf,AGb_084,,,y
1000.pdf,OMd_072,,,y
1000.pdf,AGb_081,,,y
1000.pdf,OMe_035,,,y
1000.pdf,OMe_038,,,y
1000.pdf,OMb_070,,,y
1000.pdf,OMc_069,,,y
1000.pdf,OMe_027,,,y
1000.pdf,OMd_060,,,y
1000.pdf,KAb_043,,,y
1000.pdf,YBa_031,,,y
1000.pdf,KAa_020,,,y
1000.pdf,KAa_011,,,y
1000.pdf,YBb_040,,,y
1000.pdf,YBb_035,,,y
1000.pdf,YBb_037,,,y
1000.pdf,KAa_026,,,y
1000.pdf,YBb_036,,,y
1000.pdf,YBa_035,,,y
1000.pdf,YBa_030,,,y
1000.pdf,YBb_014,,,y
1000.pdf,YBb_029,,,y
1000.pdf,YBb_023,,,y
1000.pdf,YBb_020,,,y
1000.pdf,YBa_013,,,y
1000.pdf,KAa_037,,,y
1000.pdf,YBa_028,,,y
1000.pdf,KAc_005,,,y
1000.pdf,KAc_004,,,y
1000.pdf,KAa_049,,,y
1000.pdf,YBb_015,,,y
1000.pdf,YBb_018,,,y
1000.pdf,KAc_013,,,y
1000.pdf,KAc_018,,,y
1000.pdf,KAc_009,,,y
1000.pdf,KAc_008,,,y
1000.pdf,KAc_020,,,y
1000.pdf,KAc_043,,,y
1000.pdf,KAc_031,,,y
1000.pdf,KAa_012,,,y
1000.pdf,ALa_041,,,y
1000.pdf,KAb_006,,,y
1000.pdf,ALb_027,,,y
1000.pdf,YBa_019,,,y
1000.pdf,YBb_022,,,y
1000.pdf,ALa_027,,,y
1000.pdf,KAc_038,,,y
1000.pdf,KAc_025,,,y
1000.pdf,KAc_002,,,y
1000.pdf,ALb_015,,,y
1000.pdf,KAc_044,,,y
1000.pdf,KAc_026,,,y
1000.pdf,KAa_050,,,y
1000.pdf,YBa_022,,,y
1000.pdf,KAc_049,,,y
1000.pdf,KAa_046,,,y
1000.pdf,KAa_006,,,y
1000.pdf,KAa_025,,,y
1000.pdf,KAa_010,,,y
1000.pdf,ALb_003,,,y
1000.pdf,YBb_016,,,y
1000.pdf,KAa_047,,,y
1000.pdf,YBa_007,,,y
1000.pdf,ADb_023,,,y
1000.pdf,ADb_004,,,y
1000.pdf,ADa_020,,,y
1000.pdf,ADc_027,,,y
1000.pdf,ADa_019,,,y
1000.pdf,AGb_065,,,y
1000.pdf,ADb_006,,,y
1000.pdf,ADc_010,,,y
1000.pdf,ADb_028,,,y
1000.pdf,ADa_001,,,y
1000.pdf,ADb_048,,,y
