index,sample_name,host_genus_meta,host_species_meta,published
1825.pdf,CBC_189,,,y
1825.pdf,CBC_197,,,y
1825.pdf,CBC_022,,,y
1825.pdf,CBC_231,,,y
1825.pdf,CBC_186,,,y
1825.pdf,CBC_208,,,y
1825.pdf,CBC_146,,,y
1825.pdf,CBC_191,,,y
1825.pdf,CBC_218,,,y
1825.pdf,CBC_216,,,y
1825.pdf,CBC_228,,,y
1825.pdf,CBC_211,,,y
1825.pdf,CBC_009,,,y
1825.pdf,CBC_126,,,y
1825.pdf,CBC_164,,,y
1825.pdf,CBC_004,,,y
1825.pdf,CBC_014,,,y
1825.pdf,CBC_215,,,y
1825.pdf,CBC_017,,,y
1825.pdf,CBC_212,,,y
1825.pdf,CBC_221,,,y
1825.pdf,CBC_003,,,y
1825.pdf,CBC_195,,,y
1825.pdf,CBC_127,,,y
1825.pdf,CBC_190,,,y
1825.pdf,CBC_067,,,y
1825.pdf,CBC_016,,,y
1825.pdf,CBC_131,,,y
1825.pdf,CBC_224,,,y
1825.pdf,CBC_128,,,y
1825.pdf,CBC_125,,,y
1825.pdf,CBC_171,,,y
1825.pdf,CBC_227,,,y
1825.pdf,CBC_219,,,y
1825.pdf,CBC_178,,,y
1825.pdf,CBC_217,,,y
1825.pdf,CBC_169,,,y
1825.pdf,CBC_200,,,y
1825.pdf,CBC_007,,,y
1825.pdf,CBC_214,,,y
1825.pdf,CBC_193,,,y
1825.pdf,CBC_213,,,y
1825.pdf,CBC_111,,,y
1825.pdf,CBC_138,,,y
1825.pdf,CBC_047,,,y
1825.pdf,CBC_081,,,y
1825.pdf,CBC_070,,,y
1825.pdf,CBC_012,,,y
1825.pdf,CBC_077,,,y
1825.pdf,CBC_207,,,y
1825.pdf,CBC_086,,,y
1825.pdf,CBC_107,,,y
1825.pdf,CBC_018,,,y
1825.pdf,CBC_124,,,y
1825.pdf,CBC_209,,,y
1825.pdf,CBC_135,,,y
1825.pdf,CBC_204,,,y
1825.pdf,CBC_192,,,y
1825.pdf,CBC_092,,,y
1825.pdf,CBC_060,,,y
1825.pdf,CBC_062,,,y
1825.pdf,CBC_132,,,y
1825.pdf,CBC_049,,,y
1825.pdf,CBC_106,,,y
1825.pdf,CBC_222,,,y
1825.pdf,CBC_065,,,y
1825.pdf,CBC_112,,,y
1825.pdf,CBC_139,,,y
1825.pdf,CBC_069,,,y
1825.pdf,CBC_137,,,y
1825.pdf,CBC_087,,,y
1825.pdf,CBC_181,,,y
1825.pdf,CBC_074,,,y
1825.pdf,CBC_068,,,y
1825.pdf,CBC_116,,,y
1825.pdf,CBC_223,,,y
1825.pdf,CBC_225,,,y
1825.pdf,CBC_130,,,y
1825.pdf,CBC_239,,,y
1825.pdf,CBC_241,,,y
1825.pdf,CBC_201,,,y
1825.pdf,CBC_174,,,y
1825.pdf,CBC_150,,,y
1825.pdf,CBC_046,,,y
1825.pdf,CBC_001,,,y
1825.pdf,CBC_205,,,y
1825.pdf,CBC_166,,,y
1825.pdf,CBC_105,,,y
1825.pdf,CBC_053,,,y
1825.pdf,CBC_094,,,y
1825.pdf,CBC_066,,,y
1825.pdf,CBC_206,,,y
1825.pdf,CBC_090,,,y
1825.pdf,CBC_061,,,y
1825.pdf,CBC_182,,,y
1825.pdf,CBC_027,,,y
1825.pdf,CBC_075,,,y
1825.pdf,CBC_072,,,y
1825.pdf,CBC_038,,,y
1825.pdf,CBC_168,,,y
1825.pdf,CBC_158,,,y
1825.pdf,CBC_232,,,y
1825.pdf,CBC_123,,,y
1825.pdf,CBC_085,,,y
1825.pdf,CBC_240,,,y
1825.pdf,CBC_184,,,y
1825.pdf,CBC_142,,,y
1825.pdf,CBC_198,,,y
1825.pdf,CBC_226,,,y
1825.pdf,CBC_185,,,y
1825.pdf,CBC_005,,,y
1825.pdf,CBC_141,,,y
1825.pdf,CBC_153,,,y
1825.pdf,CBC_233,,,y
1825.pdf,CBC_097,,,y
1825.pdf,CBC_118,,,y
1825.pdf,CBC_175,,,y
1825.pdf,CBC_071,,,y
1825.pdf,CBC_203,,,y
1825.pdf,CBC_194,,,y
1825.pdf,CBC_143,,,y
1825.pdf,CBC_167,,,y
1825.pdf,CBC_172,,,y
1825.pdf,CBC_051,,,y
1825.pdf,CBC_117,,,y
1825.pdf,CBC_180,,,y
1825.pdf,CBC_140,,,y
1825.pdf,CBC_108,,,y
1825.pdf,CBC_145,,,y
1825.pdf,CBC_091,,,y
1825.pdf,CBC_234,,,y
1825.pdf,CBC_134,,,y
1825.pdf,CBC_173,,,y
1825.pdf,CBC_136,,,y
1825.pdf,CBC_119,,,y
1825.pdf,CBC_028,,,y
1825.pdf,CBC_095,,,y
1825.pdf,CBC_151,,,y
1825.pdf,CBC_237,,,y
1825.pdf,CBC_188,,,y
1825.pdf,CBC_129,,,y
1825.pdf,CBC_029,,,y
1825.pdf,CBC_196,,,y
1825.pdf,CBC_220,,,y
1825.pdf,CBC_177,,,y
1825.pdf,CBC_010,,,y
1825.pdf,CBC_121,,,y
1825.pdf,CBC_011,,,y
1825.pdf,CBC_050,,,y
1825.pdf,CBC_048,,,y
1825.pdf,CBC_102,,,y
1825.pdf,CBC_238,,,y
1825.pdf,CBC_148,,,y
1825.pdf,CBC_202,,,y
1825.pdf,CBC_055,,,y
1825.pdf,CBC_040,,,y
1825.pdf,CBC_059,,,y
1825.pdf,CBC_024,,,y
1825.pdf,CBC_099,,,y
1825.pdf,CBC_147,,,y
1825.pdf,CBC_176,,,y
1825.pdf,CBC_242,,,y
1825.pdf,CBC_165,,,y
1825.pdf,CBC_110,,,y
1825.pdf,CBC_156,,,y
1825.pdf,CBC_170,,,y
1825.pdf,CBC_031,,,y
1825.pdf,CBC_101,,,y
1825.pdf,CBC_079,,,y
1825.pdf,CBC_088,,,y
1825.pdf,CBC_230,,,y
1825.pdf,CBC_033,,,y
1825.pdf,CBC_109,,,y
1825.pdf,CBC_030,,,y
1825.pdf,CBC_210,,,y
1825.pdf,CBC_064,,,y
1825.pdf,CBC_013,,,y
1825.pdf,CBC_113,,,y
1825.pdf,CBC_082,,,y
1825.pdf,CBC_063,,,y
1825.pdf,CBC_103,,,y
1825.pdf,CBC_006,,,y
1825.pdf,CBC_043,,,y
1825.pdf,CBC_008,,,y
1825.pdf,CBC_037,,,y
1825.pdf,CBC_015,,,y
1825.pdf,CBC_100,,,y
1825.pdf,CBC_025,,,y
1825.pdf,CBC_229,,,y
1825.pdf,CBC_161,,,y
1825.pdf,CBC_083,,,y
1825.pdf,CBC_154,,,y
1825.pdf,CBC_032,,,y
1825.pdf,CBC_019,,,y
1825.pdf,CBC_042,,,y
1825.pdf,CBC_052,,,y
1825.pdf,CBC_133,,,y
1825.pdf,CBC_073,,,y
1825.pdf,CBC_104,,,y
1825.pdf,CBC_080,,,y
1825.pdf,CBC_054,,,y
1825.pdf,CBC_044,,,y
1825.pdf,CBC_199,,,y
1825.pdf,CBC_056,,,y
1825.pdf,CBC_021,,,y
1825.pdf,CBC_096,,,y
1825.pdf,CBC_023,,,y
1825.pdf,CBC_078,,,y
1825.pdf,CBC_089,,,y
1825.pdf,CBC_122,,,y
1825.pdf,CBC_036,,,y
1825.pdf,CBC_093,,,y
1825.pdf,CBC_236,,,y
1825.pdf,CBC_026,,,y
1825.pdf,CBC_144,,,y
1825.pdf,CBC_157,,,y
1825.pdf,CBC_041,,,y
1825.pdf,CBC_084,,,y
1825.pdf,CBC_179,,,y
1825.pdf,CBC_160,,,y
1825.pdf,CBC_149,,,y
1825.pdf,CBC_039,,,y
1825.pdf,CBC_159,,,y
1825.pdf,CBC_152,,,y
1825.pdf,CBC_076,,,y
1825.pdf,CBC_187,,,y
1825.pdf,CBC_002,,,y
1825.pdf,CBC_035,,,y
1825.pdf,CBC_114,,,y
1825.pdf,CBC_057,,,y
1825.pdf,CBC_020,,,y
1825.pdf,CBC_058,,,y
1825.pdf,CBC_155,,,y
1825.pdf,CBC_045,,,y
1825.pdf,CBC_183,,,y
1825.pdf,CBC_115,,,y
1825.pdf,CBC_120,,,y
1825.pdf,CBC_034,,,y
1825.pdf,CBC_162,,,y
1825.pdf,CBC_163,,,y
1825.pdf,CBC_098,,,y
