index,sample_name,host_genus_meta,host_species_meta,published
S17,ITS_019,,,y
S17,ITS_021,,,y
S17,ITS_015,,,y
S17,ITS_004,,,y
S17,ITS_007,,,y
S17,ITS_012,,,y
S17,ITS_013,,,y
S17,ITS_027,,,y
S17,ITS_023,,,y
S17,ITS_010,,,y
S17,ITS_005,,,y
S17,ITS_011,,,y
S17,ITS_003,,,y
S17,ITS_020,,,y
S17,ITS_008,,,y
S17,ITS_024,,,y
S17,ITS_022,,,y
S17,ITS_028,,,y
S17,ITS_018,,,y
S17,ITS_029,,,y
S17,ITS_017,,,y
S17,ITS_001,,,y
S17,ITS_006,,,y
S17,ITS_030,,,y
S17,ITS_002,,,y
S17,ITS_014,,,y
S17,ITS_009,,,y
S17,ITS_016,,,y
S17,ITS_026,,,y
S17,ITS_025,,,y
