index,sample_name,host_genus_meta,host_species_meta,published
S8,Sp9,,,y
S8,Sp8,,,y
S8,El7,,,y
S8,Sp7,,,y
S8,Sp10,,,y
S8,Sp12,,,y
S8,Dp9,,,y
S8,El10,,,y
S8,El11,,,y
S8,Pd7,,,y
S8,Sp11,,,y
S8,Pd8,,,y
S8,Dh12,,,y
S8,Ca1,,,y
S8,Dp8,,,y
S8,Ca2,,,y
S8,Dh8,,,y
S8,Dp12,,,y
S8,Dp7,,,y
S8,Pl9,,,y
S8,Ca3,,,y
S8,Dp11,,,y
S8,Pl8,,,y
S8,Dp10,,,y
S8,Pl7,,,y
S8,Dh10,,,y
S8,Dh11,,,y
S8,Pd9,,,y
S8,El12,,,y
S8,Pd5,,,y
S8,Pd6,,,y
S8,Pd4,,,y
S8,Pd1,,,y
S8,Pd2,,,y
S8,Pd3,,,y
S8,Pd10,,,y
S8,Pd12,,,y
S8,Pd11,,,y
S8,Pl5,,,y
S8,Pl15,,,y
S8,Pl14,,,y
S8,Pl16,,,y
S8,Pl13,,,y
S8,Dp16,,,y
S8,Dp13,,,y
S8,Dp14,,,y
S8,Dp15,,,y
S8,Dh16,,,y
S8,Dh15,,,y
S8,Dh13,,,y
S8,Dh14,,,y
S8,El14,,,y
S8,El16,,,y
S8,El15,,,y
S8,El13,,,y
S8,Pl11,,,y
S8,Pl10,,,y
S8,Pd16,,,y
S8,Pd14,,,y
S8,Sp16,,,y
S8,Sp15,,,y
S8,Sp13,,,y
S8,El8,,,y
S8,Pd15,,,y
S8,Pd13,,,y
S8,PCR_NTC3,,,y
S8,PCR_NTC2,,,y
S8,PCR_NTC1,,,y
S8,DNA_NTC3,,,y
S8,El9,,,y
S8,Sp3,,,y
S8,Sp2,,,y
S8,Sp1,,,y
S8,Pl12,,,y
S8,Pl6,,,y
S8,Pl4,,,y
S8,Pl3,,,y
S8,Pl2,,,y
S8,Pl1,,,y
S8,DNA_NTC2,,,y
S8,Dp6,,,y
S8,Dp5,,,y
S8,Dp4,,,y
S8,Dp3,,,y
S8,Dp2,,,y
S8,Dp1,,,y
S8,Dh9,,,y
S8,Dh7,,,y
S8,Dh6,,,y
S8,Dh5,,,y
S8,Dh4,,,y
S8,Dh3,,,y
S8,Dh2,,,y
S8,Dh1,,,y
S8,DNA_NTC1,,,y
S8,Sp14,,,y
