index,sample_name,host_genus_meta,host_species_meta,published
2058.pdf,T0_15,,,y
2058.pdf,T0_14,,,y
2058.pdf,T0_20,,,y
2058.pdf,T0_17,,,y
2058.pdf,T0_12,,,y
2058.pdf,T5_19,,,y
2058.pdf,T0_11,,,y
2058.pdf,T0_19,,,y
2058.pdf,T5_15,,,y
2058.pdf,T0_13,,,y
2058.pdf,T5_13,,,y
2058.pdf,T5_16,,,y
2058.pdf,T5_20,,,y
2058.pdf,T0_16,,,y
2058.pdf,T5_11,,,y
2058.pdf,T0_7,,,y
2058.pdf,T5_8,,,y
2058.pdf,T0_3,,,y
2058.pdf,T0_8,,,y
2058.pdf,T5_3,,,y
2058.pdf,T0_4,,,y
2058.pdf,T5_10,,,y
2058.pdf,T5_1,,,y
2058.pdf,T0_10,,,y
2058.pdf,T0_2,,,y
2058.pdf,T0_18,,,y
2058.pdf,T5_18,,,y
2058.pdf,T0_5,,,y
2058.pdf,T5_5,,,y
2058.pdf,T0_6,,,y
2058.pdf,T0_9,,,y
2058.pdf,T5_6,,,y
2058.pdf,T0_1,,,y
