index,sample_name,host_genus_meta,host_species_meta,published
S16,A1,,,y
S16,A5,,,y
S16,A4,,,y
S16,A8,,,y
S16,B11,,,y
S16,A10,,,y
S16,C12,,,y
S16,C4,,,y
S16,B10,,,y
S16,A12,,,y
S16,B3,,,y
S16,B4,,,y
S16,A11,,,y
S16,A3,,,y
S16,A9,,,y
S16,C10,,,y
S16,C1,,,y
S16,B5,,,y
S16,C11,,,y
S16,C8,,,y
S16,A2,,,y
S16,B7,,,y
S16,B12,,,y
S16,B2,,,y
S16,C6,,,y
S16,C9,,,y
S16,A6,,,y
S16,B1,,,y
S16,C7,,,y
S16,B9,,,y
S16,B8,,,y
S16,C2,,,y
S16,C3,,,y
S16,C5,,,y
S16,A7,,,y
S16,B6,,,y
