index,sample_name,host_genus_meta,host_species_meta,published
1706.pdf,E60,,,y
1706.pdf,T4,,,y
1706.pdf,T3,,,y
1706.pdf,T1,,,y
1706.pdf,T2,,,y
1706.pdf,E61,,,y
1706.pdf,E63,,,y
1706.pdf,E62,,,y
1706.pdf,E94,,,y
1706.pdf,E79,,,y
1706.pdf,E76,,,y
1706.pdf,E78,,,y
1706.pdf,E77,,,y
1706.pdf,E95,,,y
1706.pdf,E92,,,y
1706.pdf,E93,,,y
1706.pdf,E16,,,y
1706.pdf,E15,,,y
1706.pdf,E17,,,y
1706.pdf,E7,,,y
1706.pdf,E8,,,y
1706.pdf,E6,,,y
1706.pdf,E9,,,y
1706.pdf,E82,,,y
1706.pdf,E83,,,y
1706.pdf,E81,,,y
1706.pdf,E18,,,y
1706.pdf,E84,,,y
