index,sample_name,host_genus_meta,host_species_meta,published
1702.pdf,41-SEYITS2,,,y
1702.pdf,28-SEYITS2,,,y
1702.pdf,30-SEYITS2,,,y
1702.pdf,11-SEYITS2,,,y
1702.pdf,15-SEYITS2,,,y
1702.pdf,14-SEYITS2,,,y
1702.pdf,39-SEYITS2,,,y
1702.pdf,16-SEYITS2,,,y
1702.pdf,17-SEYITS2,,,y
1702.pdf,18-SEYITS2,,,y
1702.pdf,48-SEYITS2,,,y
1702.pdf,9-SEYITS2,,,y
1702.pdf,13-SEYITS2,,,y
1702.pdf,10-SEYITS2,,,y
1702.pdf,12-SEYITS2,,,y
1702.pdf,8-SEYITS2,,,y
1702.pdf,26-SEYITS2,,,y
1702.pdf,7-SEYITS2,,,y
1702.pdf,neg-con1-SEY,,,y
1702.pdf,27-SEYITS2,,,y
1702.pdf,3-SEYITS2,,,y
1702.pdf,neg-con2-SEY,,,y
1702.pdf,1-SEYITS2,,,y
1702.pdf,29-SEYITS2,,,y
1702.pdf,25-SEYITS2,,,y
1702.pdf,42-SEYITS2,,,y
1702.pdf,40-SEYITS2,,,y
1702.pdf,test-1-SEYIT,,,y
1702.pdf,19-SEYITS2,,,y
1702.pdf,33-SEYITS2,,,y
1702.pdf,31-SEYITS2,,,y
1702.pdf,35-SEYITS2,,,y
1702.pdf,34-SEYITS2,,,y
1702.pdf,36-SEYITS2,,,y
1702.pdf,test-2-SEYIT,,,y
1702.pdf,20-SEYITS2,,,y
1702.pdf,32-SEYITS2,,,y
1702.pdf,21-SEYITS2,,,y
1702.pdf,22-SEYITS2,,,y
1702.pdf,37-SEYITS2,,,y
1702.pdf,38-SEYITS2,,,y
1702.pdf,45-SEYITS2,,,y
1702.pdf,5-SEYITS2,,,y
1702.pdf,6-SEYITS2,,,y
1702.pdf,23-SEYITS2,,,y
1702.pdf,44-SEYITS2,,,y
1702.pdf,47-SEYITS2,,,y
1702.pdf,2-SEYITS2,,,y
1702.pdf,43-SEYITS2,,,y
1702.pdf,4-SEYITS2,,,y
1702.pdf,46-SEYITS2,,,y
1702.pdf,24-SEYITS2,,,y
