index,sample_name,host_genus_meta,host_species_meta,published
S11,D3-8,,,y
S11,Sym7,,,y
S11,Sym24,,,y
S11,D2-1,,,y
S11,D5-3,,,y
S11,Syb03,,,y
S11,Syb02,,,y
S11,Syb01,,,y
S11,Syb09,,,y
S11,D3-6,,,y
S11,Syb04,,,y
S11,D4-1,,,y
S11,D1-2,,,y
S11,D4-8,,,y
S11,D1-6,,,y
S11,Sym26,,,y
S11,Sym3,,,y
S11,Sym2,,,y
S11,D3-1,,,y
S11,D3-9,,,y
S11,D3-3,,,y
S11,D1-7,,,y
S11,Sym10,,,y
S11,Sym12,,,y
S11,Sym20,,,y
S11,sym14_1,,,y
S11,sym18_1,,,y
S11,D2-5,,,y
S11,Sym28,,,y
S11,D5-6,,,y
S11,Sym11,,,y
S11,Syb10,,,y
S11,D3-4,,,y
S11,Sym8,,,y
S11,Syb12,,,y
S11,D3-10,,,y
S11,D3-7,,,y
S11,D5-8,,,y
S11,D5-2,,,y
S11,Sym6,,,y
S11,Sym5,,,y
S11,D4-4,,,y
S11,D2-8,,,y
S11,D5-1,,,y
S11,Sym16,,,y
S11,Sym4,,,y
S11,D2-3,,,y
S11,D5-4,,,y
S11,Syb11,,,y
S11,D1-4,,,y
S11,Sym27,,,y
S11,Sym1,,,y
S11,Sym19,,,y
S11,D1-3,,,y
S11,D1-1,,,y
S11,Sym29,,,y
S11,D2-4,,,y
S11,D3-5,,,y
S11,D4-2,,,y
S11,D2-6,,,y
S11,D4-6,,,y
S11,Sym25,,,y
S11,Sym13,,,y
S11,D5-5,,,y
