index,sample_name,host_genus_meta,host_species_meta,published
1858.pdf,Heron_2016_Coral_(Montipora)_site_2_b,,,y
1858.pdf,Heron_2016_Coral_(Montipora)_site_2_d,,,y
1858.pdf,Heron_2015_Coral_(Montipora)_site_2_c,,,y
1858.pdf,Heron_2015_Coral_(Montipora)_site_2_d,,,y
1858.pdf,Heron_2015_Coral_(Montipora)_site_2_b,,,y
1858.pdf,Heron_2016_Coral_(Montipora)_site_2_a,,,y
1858.pdf,Heron_2016_Coral_(Montipora)_site_2_c,,,y
1858.pdf,Heron_2015_Coral_(Montipora)_site_2_a,,,y
1858.pdf,Heron_2015_Coral_(Pocillopora)_site_3_b,,,y
1858.pdf,Heron_2016_Coral_(Pocillopora)_site_3_a,,,y
1858.pdf,Heron_2015_Coral_(Pocillopora)_site_3_d,,,y
1858.pdf,Heron_2016_Coral_(Pocillopora)_site_3_b,,,y
1858.pdf,Heron_2015_Coral_(Pocillopora)_site_3_a,,,y
1858.pdf,Heron_2016_Coral_(Pocillopora)_site_3_c,,,y
1858.pdf,Heron_2015_Coral_(Pocillopora)_site_3_c,,,y
1858.pdf,Heron_2016_Coral_(Acropora)_site_1_a,,,y
1858.pdf,Heron_2016_Coral_(Acropora)_site_1_d,,,y
1858.pdf,Heron_2016_Coral_(Acropora)_site_1_c,,,y
1858.pdf,Heron_2016_Coral_(Acropora)_site_1_b,,,y
1858.pdf,Heron_2015_Coral_(Acropora)_site_1_d,,,y
1858.pdf,Heron_2015_Coral_(Acropora)_site_1_c,,,y
1858.pdf,Heron_2015_Coral_(Acropora)_site_1_b,,,y
1858.pdf,Heron_2015_Coral_(Acropora)_site_1_a,,,y
1858.pdf,Heron_2016_Coral_(Pocillopora)_site_3_d,,,y
