sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A6b	C40	C3	C115	C40h	C40i	C40e	C40j	C3ge	C115a	C15h	39131_C	C40r	49520_C	C40aa	C40ak	41416_C	752713_C	C93a	C116	9922_C	37031_C	37022_C	41308_C	37019_C	C1	C21ab	C40q	336000_C	C3gj	20880_C	42734_C	10374_C	C15do	C115g	1061020_C	337761_C	38715_C	70402_C	C18a	37020_C	C15hf	741784_C	C3u	C3b	38679_C	335824_C	42114_C	38846_C	49517_C	C40n	752647_C	C3mn	1264069_C	C15hg	39658_C	22609_C	335884_C	41427_C	C15mx	42133_C	C40o	C3.10	174273_C	336133_C	38847_C	D1	D4	D4c	D17d	D17c	D1r	D2	D5m	D4f	D17q	D17e	D17j	D17k	D1c	D6	D4ao	D17l	10201_D
113905	3042	Plate2_H4_S127_L001_R1_001.fastq.gz	9ec2db31f37dd4f8b3818e57884db4d496776ba97baf1a5422a8e502de6477df	Plate2_H4_S127_L001_R2_001.fastq.gz	ac5597de9021fb97b432be2b84679697c85636e51de738bfef41185bc9f29711	573	20210108_bythell	43462	8297	292	8207	287	0	0	90	5	8067	10	0	0	116	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	7011	380	0	111	71	93	208	43	0	0	82	0	0	0	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113867	3003	Plate2_E1_S101_L001_R1_001.fastq.gz	6476ac907bf2bf5c1f45f207cba98e7052b6e69e2566894980e1dd36bc585f56	Plate2_E1_S101_L001_R2_001.fastq.gz	be6379dc9e670ad52e0794efa60b46d02070052965d46f40273a5e7b263cf2dc	573	20210108_bythell	44098	8717	327	8708	326	0	0	9	1	8576	22	0	0	71	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	7081	523	0	144	0	119	139	55	0	83	71	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	76	12	6	8	16	4	0	7	4	9	5	6	14	0	0	0	0
113853	2989	Plate2_C11_S178_L001_R1_001.fastq.gz	1d09214ee65da20a185f9a4bf64efb78663d6fc1001ad98bfbbd9b2146885acc	Plate2_C11_S178_L001_R2_001.fastq.gz	efada472a6f5bf30f3817cb13f06f2d2beceda28226f908661dd81dbbcb93185	573	20210108_bythell	32054	5071	244	5048	242	0	0	23	2	4941	27	0	0	43	4	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	3527	286	0	85	0	52	100	38	0	38	0	0	0	0	0	25	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	412	158	49	24	19	11	12	12	7	8	4	6	5	0	8	8	6	4
113880	3016	Plate2_F2_S110_L001_R1_001.fastq.gz	7c84b9b4d4e0989404370ecb3ca5feb9e3451f0a0d2646173127301e200955ea	Plate2_F2_S110_L001_R2_001.fastq.gz	9a7c9abdd202268380ca5421dfb5bd1fe21fa7189e9d96589c9a3c65f1fd28b5	573	20210108_bythell	45947	8040	363	7881	355	0	0	159	8	7747	7	0	0	68	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	4187	424	0	70	2881	81	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113866	2994	Plate2_D12_S187_L001_R1_001.fastq.gz	11ac7292c94d70e6f7e25966b2ca705259e14b3c453e42aec190b5ac9fadf136	Plate2_D12_S187_L001_R2_001.fastq.gz	6481b5f1a294418b3458a811606986720f72c179791a676ab28939836413a0ea	573	20210108_bythell	43372	8273	348	8255	346	0	0	18	2	8014	8	0	0	97	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	4919	718	0	172	1983	91	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113858	2995	Plate2_D4_S123_L001_R1_001.fastq.gz	9c97352576c35c484845fe4a40b3185c9a8cc02141c1e51d36d80800e95b1939	Plate2_D4_S123_L001_R2_001.fastq.gz	d31fbdaca4dc6742f5c12639aa0c03c1a3552fa78cc4a406c9ac3eff050866c5	573	20210108_bythell	38991	7015	301	7015	301	0	0	0	0	6833	8	0	0	75	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	4150	604	0	136	1733	101	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113929	3066	Plate3_B4_S217_L001_R1_001.fastq.gz	1309a7bc9074d8de35328b67321452a95fbbf3688cb922d77e203ad4671a8ef5	Plate3_B4_S217_L001_R2_001.fastq.gz	c22c9452e8994526c8bac0c785158309b8a6c86df673fe2dd7f3d1e09c328455	573	20210108_bythell	36301	8288	310	8273	309	0	0	15	1	8114	8	0	0	48	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	6753	468	0	118	373	104	191	59	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113869	3005	Plate2_E3_S117_L001_R1_001.fastq.gz	388933057f0115dfe41ed25747c384aa43082b49ed702d37a37cc21ab7068256	Plate2_E3_S117_L001_R2_001.fastq.gz	e6d7bdc41f10071e00610bec29394db5ae5d777f352abf1f58df81efb27df27c	573	20210108_bythell	46288	9188	315	9153	313	0	0	35	2	9017	9	0	0	98	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	7720	530	0	167	159	116	124	61	0	0	98	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113859	2996	Plate2_D5_S131_L001_R1_001.fastq.gz	adf8903d151d136d52559e58b130c96ef74ea5e616c42010b1b731fd5e811ae2	Plate2_D5_S131_L001_R2_001.fastq.gz	99ee1d7a38ca6804eb2fb3b883ccabc5c8e5c622ce462d60785fb8a0ca7e4c42	573	20210108_bythell	39710	7550	295	7536	294	0	0	14	1	7338	8	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	6010	377	271	136	379	86	0	44	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113916	3053	Plate3_A3_S208_L001_R1_001.fastq.gz	a0fcfc8e8ec2947d8bb9420100bd5f56da718c57aa510ed1dae88776f85cbb5c	Plate3_A3_S208_L001_R2_001.fastq.gz	48e57d088a996b5dbaabaa66a9003657af14d7fc543d3b9ab90cd0e0b6485cdc	573	20210108_bythell	39106	8776	316	8768	315	0	0	8	1	8552	9	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	6937	555	359	207	224	136	0	51	38	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113895	3031	Plate2_G5_S134_L001_R1_001.fastq.gz	96c83794fdc562c30c4054c9fbc0a61d9f7ac1c69ac7cd987c5347b3a7e564c5	Plate2_G5_S134_L001_R2_001.fastq.gz	8a2bc04b5c0818e28791fbfc7a50ca86a80922d99fca18aacf69489d316ff207	573	20210108_bythell	42180	6873	274	6858	272	0	0	15	2	6722	11	0	0	107	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	5101	431	203	159	447	123	0	44	0	0	0	27	0	80	0	39	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113900	3037	Plate2_G11_S182_L001_R1_001.fastq.gz	32223149ac56b9ce1493d079503d99bf5377840ff781c82f97e857eaca9b2b56	Plate2_G11_S182_L001_R2_001.fastq.gz	50512ce6ec3a751346ecf70f2c6dfaca664a018dd76b86a3c8c032c3c7d37cbe	573	20210108_bythell	79310	17916	493	17900	492	0	0	16	1	16906	12	0	0	181	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	13833	1136	0	362	0	309	326	100	0	478	107	0	0	0	87	74	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113913	3050	Plate2_H12_S191_L001_R1_001.fastq.gz	8bd2d35051714f9d9bca1e5ebacb6ad81f5c60aa3680ebf0b32b50b2fc875c83	Plate2_H12_S191_L001_R2_001.fastq.gz	b525266f12800f57fca71ec98433eb61b138dc7c37f88fca75599548005db378	573	20210108_bythell	36900	6293	273	6285	271	0	0	8	2	6051	15	0	0	271	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	4597	337	0	125	0	113	206	34	0	328	47	0	0	0	0	26	0	40	0	52	35	48	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
